sample	group
Active_1	Active_Disease
Active_2	Active_Disease
Active_3	Active_Disease
Active_4	Active_Disease
Active_5	Active_Disease
Active_6	Active_Disease
Active_7	Active_Disease
Active_8	Active_Disease
Active_9	Active_Disease
CR_1	Complete_Response
CR_2	Complete_Response
CR_3	Complete_Response
CR_4	Complete_Response
CR_5	Complete_Response
CR_6	Complete_Response
CR_7	Complete_Response
CR_8	Complete_Response
CR_9	Complete_Response
CR_10	Complete_Response
Healthy_1	Healthy
Healthy_2	Healthy
Healthy_3	Healthy
Healthy_4	Healthy
Healthy_5	Healthy
Healthy_6	Healthy
Healthy_7	Healthy
Healthy_8	Healthy
Healthy_9	Healthy
