	Cancer_011	Cancer_012	Cancer_013	Cancer_014	Cancer_015	Cancer_016	Cancer_017	Cancer_019	Cancer_020	Cancer_022	Cancer_023	Cancer_024	Cancer_025	Cancer_026	Cancer_027	Cancer_028	Cancer_029	Cancer_030	Cancer_031	Cancer_032	Cancer_033	Cancer_034	Cancer_035	Cancer_036	Cancer_037	Cancer_038	Cancer_039	Cancer_040	Cancer_041	Cancer_042	Cancer_043	Cancer_044	Cancer_045	Cancer_046	Cancer_047	Cancer_048	Healthy_001	Healthy_002	Healthy_003	Healthy_004	Healthy_005	Healthy_006	Healthy_007	Healthy_008	Healthy_010
hsa-let-7a-3p	40.5	38.5	11.5	30.5	54	5.5	31	27	25	17.5	25.5	24.5	0.5	1.5	0	3	1	0.5	5	0.5	6	2	15.5	12	34.5	0.5	23.5	3.5	4.5	1	37.5	4.5	0	0.5	1.5	2	15	26.5	13.5	13	27	64	44.5	13.5	25
hsa-let-7a-5p	41407.82	53480.08	8784.02	23039.16	99910.65	5457.14	28255.37	27827.63	26895.77	33091.58	15688.52	51558.6	842.8	1357.1	384.25	5977.53	959.65	892.73	1689.15	3006.53	8147.45	2757.18	5060.88	34568.43	41185.25	1713.02	143132.01	4288.47	2804.05	3582.5	89021.33	3012.9	1988.53	4265.47	4629.68	4347.97	15530.72	11481.35	25944.03	13840.83	23459.88	36210.35	18713.93	8359.03	8944.1
hsa-let-7b-3p	90	75	34	23	80	8	36	30	55	91	48	40	4	4	3	10	9	9	17	8	24	44	87	93	56	9	118	24	23	11	103	5	8	23	30	31	28.5	27	53	13	42	62	38	22	33
hsa-let-7b-5p	47361.4	61270.16	17108.85	27419.21	88262.28	9649.27	44250.58	36404.53	31957.05	40907.65	16694.25	71282.1	1351.8	1902.85	456	10436.6	1016.65	1318.65	2224	3733.7	9890.85	5721.9	4223.35	53367.4	52634.9	1957.4	130623.75	4646.35	2964.35	3962.3	87619.6	2610.45	2733.5	5682.9	9141.9	6609.1	19862.75	14360.6	43697.3	20698.1	34799.63	42720.8	17483.48	11503.25	11194.05
hsa-let-7c-5p	1275.68	1393.29	347.87	605.18	2369.53	182.47	937.17	765.88	655.58	940.15	507.42	998.62	52.38	65.35	8.25	187.2	19.65	62.4	62.15	91.53	177.33	216.6	216.1	901.08	677.6	91.98	2553.28	119.35	96.85	120.8	1757.87	78.7	62.58	244.93	153.85	232.68	440.62	389.7	747.11	530.3	755.3	1491.33	585.18	415.17	300.68
hsa-let-7d-3p	3058	2340	1051	1566	3745	344	1594	1560	1328	2322	1453	1334	157	147	39	498	117	181	375	288	512	556	1092	2540	1884	189	3909	503	250	792	4937	191	272	737	754	753	1086.5	1210	1694	801	1849	3069	1626	846	1037
hsa-let-7d-5p	18300.25	21974	5618	9295.5	40180.25	2185.5	10307.25	11942.5	9948.75	19086	8388.5	18779.75	486	726.5	140.5	2648.83	600	582	1256.75	1452.75	3705.5	1970.25	4324	16581.5	13577	938	59419.33	2578.75	1247	2344	40495	1471.75	1093.25	2983.5	2852.75	2892.75	6468	5352.5	12001.75	5680.75	13933	19248.75	7048	3586.75	4161
hsa-let-7e-3p	12	9	5	4	24	1	11	5	4	29	9	6	3	0	2	0	0	0	3	0	2	0	1	19	11	1	64	10	1	2	15	0	2	17	6	8	5	2	16	3	6	12	5	8	2
hsa-let-7e-5p	8034.6	9518.99	2356.7	4989.01	28561.17	678.96	5375.18	5313.37	3145.7	7767.5	2918.28	8464	282.25	363	68.25	752	220	203.25	394.25	471.75	1232	545	1428.25	4501.2	6755.8	393.2	47343	1061.5	850.58	782.28	8036.83	654.2	417.75	1449	739.83	911.03	2462.48	1117.27	7071.2	1482.33	3829.08	4639.62	2236.75	1423.28	2415.45
hsa-let-7f-1-3p	2	5	3	11	12	1	5	3	2	19	10	4	0	0	0	3	2	0	0	2	0	0	3	21	8	0	27	0	1	9	31	2	1	0	7	0	7	2	3	5	9	18	9	4	3
hsa-let-7f-2-3p	27	22	9	10	33	5	12	20	16	41	41	26	0	1	0	10	7	6	3	4	1	14	23	45	26	7	57	8	7	4	50	1	0	11	5	8	9	8	12	15	23	27	17	8	5
hsa-let-7f-5p	49428.93	59221.58	12585.95	42898.57	93431.6	9038.5	48916.95	44463	36097.1	47407.1	31304.82	37656.48	1203.67	2173.5	501.5	6174.25	1869.5	1358.83	2823	4873.17	14073.37	4232	14640.37	32750.57	41784.1	2757.17	125133.91	7463.7	6100.87	6613.67	85986.88	7146.5	3421.87	8557.7	6692.33	7213.25	28388.15	22799.17	28727.03	22573.12	30001.17	54333.27	35237.92	14281.62	20429.67
hsa-let-7g-3p	2	6	0	1	2	0	3	3	2	7	0	0	0	0	0	3	2	1	1	1	5	1	0	4	0	1	2	0	0	0	6	0	0	0	3	9	1	0	4	1	8	3	9	3	2
hsa-let-7g-5p	23584.08	32796.33	5218.33	9649.19	65956.77	2096.79	12988.83	14902.28	12864.17	27136.27	9484.42	20905.67	400.58	834	214.25	2619.17	709.75	554.5	1038	1663.67	3196	1677.5	5698.58	18209.23	22397.07	1086.83	91490.35	2669.75	1412.53	2184.33	47545.2	1404.5	1174.25	1909.37	2695	2514.83	8386	5773.08	15977.48	7199.33	15378.67	22714.25	9247.92	4407.67	4360.42
hsa-let-7i-3p	10	7	12	8	10	6	27	10	5	5	7	7	5	0	1	5	7	3	5	0	0	15	6	10	1	8	7	0	0	5	28	0	0	18	2	14	8	10	5	5	21	25	23	7	9
hsa-let-7i-5p	22787.75	25348.62	8483.25	15245.61	43662.5	3613.62	17579.75	17047.75	13275	31890.5	16360.5	21367.5	1540	1647	556	6345	1630.5	1151.5	3434	2981.5	6584	5508	13190	31409.5	25238	2095.5	68153.75	7033.5	2609	7843	56702.75	2994	2916	5886	7455.5	8960.5	10232.75	7645.5	14138.75	7644.25	16380.5	21622.5	9407.25	5344	6350
hsa-miR-1-3p	10.5	7	0.5	8	10	1.5	3	9.5	1	0.5	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0.5	9	2.5	0	0	2	0	0	3	0	0	3	1.5	3	0.5	3.5	5.5	7	0.5	2.5
hsa-miR-100-5p	5	2	3	5	7	4	3	10	1	37	21	16	7	8	1	12	7	15	6	6	15	9	50	25	15	12	9	15	29	8	9	5	15	7	6	15	0	3	3	3	22	25	1	5	8
