name	Active_1	CR_1	Active_2	Active_3	CR_2	Active_4	CR_3	CR_4	CR_5	Active_5	Active_6	CR_6	Active_7	Active_8	CR_7	CR_8	Active_9	CR_9	CR_10	Healthy_1	Healthy_2	Healthy_3	Healthy_4	Healthy_5	Healthy_6	Healthy_7	Healthy_8	Healthy_9
hsa-let-7a-3p	17.5	25.5	24.5	0.5	1.5	0.5	6	2	15.5	12	34.5	0.5	23.5	3.5	4.5	1	37.5	4.5	0	15	26.5	13.5	13	27	64	44.5	13.5	25
hsa-let-7a-5p	33091.58	15688.52	51558.6	842.8	1357.1	3006.53	8147.45	2757.18	5060.88	34568.43	41185.25	1713.02	143132.01	4288.47	2804.05	3582.5	89021.33	3012.9	1988.53	15530.72	11481.35	25944.03	13840.83	23459.88	36210.35	18713.93	8359.03	8944.1
hsa-let-7b-3p	91	48	40	4	4	8	24	44	87	93	56	9	118	24	23	11	103	5	8	28.5	27	53	13	42	62	38	22	33
hsa-let-7b-5p	40907.65	16694.25	71282.1	1351.8	1902.85	3733.7	9890.85	5721.9	4223.35	53367.4	52634.9	1957.4	130623.75	4646.35	2964.35	3962.3	87619.6	2610.45	2733.5	19862.75	14360.6	43697.3	20698.1	34799.63	42720.8	17483.48	11503.25	11194.05
hsa-let-7c-5p	940.15	507.42	998.62	52.38	65.35	91.53	177.33	216.6	216.1	901.08	677.6	91.98	2553.28	119.35	96.85	120.8	1757.87	78.7	62.58	440.62	389.7	747.11	530.3	755.3	1491.33	585.18	415.17	300.68
hsa-let-7d-3p	2322	1453	1334	157	147	288	512	556	1092	2540	1884	189	3909	503	250	792	4937	191	272	1086.5	1210	1694	801	1849	3069	1626	846	1037
hsa-let-7d-5p	19086	8388.5	18779.75	486	726.5	1452.75	3705.5	1970.25	4324	16581.5	13577	938	59419.33	2578.75	1247	2344	40495	1471.75	1093.25	6468	5352.5	12001.75	5680.75	13933	19248.75	7048	3586.75	4161
hsa-let-7e-3p	29	9	6	3	0	0	2	0	1	19	11	1	64	10	1	2	15	0	2	5	2	16	3	6	12	5	8	2
hsa-let-7e-5p	7767.5	2918.28	8464	282.25	363	471.75	1232	545	1428.25	4501.2	6755.8	393.2	47343	1061.5	850.58	782.28	8036.83	654.2	417.75	2462.48	1117.27	7071.2	1482.33	3829.08	4639.62	2236.75	1423.28	2415.45
hsa-let-7f-1-3p	19	10	4	0	0	2	0	0	3	21	8	0	27	0	1	9	31	2	1	7	2	3	5	9	18	9	4	3
hsa-let-7f-2-3p	41	41	26	0	1	4	1	14	23	45	26	7	57	8	7	4	50	1	0	9	8	12	15	23	27	17	8	5
hsa-let-7f-5p	47407.1	31304.82	37656.48	1203.67	2173.5	4873.17	14073.37	4232	14640.37	32750.57	41784.1	2757.17	125133.91	7463.7	6100.87	6613.67	85986.88	7146.5	3421.87	28388.15	22799.17	28727.03	22573.12	30001.17	54333.27	35237.92	14281.62	20429.67
hsa-let-7g-3p	7	0	0	0	0	1	5	1	0	4	0	1	2	0	0	0	6	0	0	1	0	4	1	8	3	9	3	2
hsa-let-7g-5p	27136.27	9484.42	20905.67	400.58	834	1663.67	3196	1677.5	5698.58	18209.23	22397.07	1086.83	91490.35	2669.75	1412.53	2184.33	47545.2	1404.5	1174.25	8386	5773.08	15977.48	7199.33	15378.67	22714.25	9247.92	4407.67	4360.42
hsa-let-7i-3p	5	7	7	5	0	0	0	15	6	10	1	8	7	0	0	5	28	0	0	8	10	5	5	21	25	23	7	9
hsa-let-7i-5p	31890.5	16360.5	21367.5	1540	1647	2981.5	6584	5508	13190	31409.5	25238	2095.5	68153.75	7033.5	2609	7843	56702.75	2994	2916	10232.75	7645.5	14138.75	7644.25	16380.5	21622.5	9407.25	5344	6350
hsa-miR-1-3p	0.5	0	4	0	0	0	0	0	0	0	0	0.5	9	2.5	0	0	2	0	0	3	1.5	3	0.5	3.5	5.5	7	0.5	2.5
hsa-miR-100-5p	37	21	16	7	8	6	15	9	50	25	15	12	9	15	29	8	9	5	15	0	3	3	3	22	25	1	5	8
hsa-miR-101-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-101-3p	2082.5	1892.5	1687.5	249.5	124	238	580.5	502.5	2665	2170	1541	289.5	3249	538.5	412	944.5	3560	380.5	334	676.5	1107	743	695	1059.5	1851	1383	430.5	646.5
hsa-miR-101-5p	3	3	0	2	2	1	0	11	12	1	0	1	3	0	2	0	20	0	0	4	6	7	4	12	18	4	7	4
hsa-miR-10392-3p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-3p	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-10393-5p	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0
hsa-miR-10394-5p	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-3p	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-10398-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	127	41	72	2	7	10	15	17	33	83	35	2	95	23	4	3	119	13	7	18	26	77	23	44	63	15	7	25
hsa-miR-10399-5p	16	7	21	1	0	5	12	1	6	30	44	1	38	2	1	0	29	1	1	10	11	31	7	23	25	20	3	4
hsa-miR-103a-1-5p	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0.5	1.5	0.5	0
