sample	group
Cancer_011	Cancer
Cancer_012	Cancer
Cancer_013	Cancer
Cancer_014	Cancer
Cancer_015	Cancer
Cancer_016	Cancer
Cancer_017	Cancer
Cancer_019	Cancer
Cancer_020	Cancer
Cancer_022	Cancer
Cancer_023	Cancer
Cancer_024	Cancer
Cancer_025	Cancer
Cancer_026	Cancer
Cancer_027	Cancer
Cancer_028	Cancer
Cancer_029	Cancer
Cancer_030	Cancer
Cancer_031	Cancer
Cancer_032	Cancer
Cancer_033	Cancer
Cancer_034	Cancer
Cancer_035	Cancer
Cancer_036	Cancer
Cancer_037	Cancer
Cancer_038	Cancer
Cancer_039	Cancer
Cancer_040	Cancer
Cancer_041	Cancer
Cancer_042	Cancer
Cancer_043	Cancer
Cancer_044	Cancer
Cancer_045	Cancer
Cancer_046	Cancer
Cancer_047	Cancer
Cancer_048	Cancer
Healthy_001	Healthy
Healthy_002	Healthy
Healthy_003	Healthy
Healthy_004	Healthy
Healthy_005	Healthy
Healthy_006	Healthy
Healthy_007	Healthy
Healthy_008	Healthy
Healthy_010	Healthy

